asin,Name,Price,Avg Rating,# of Ratings
B07DM7QR39,"Tailored Tackle Wacky Worm 5 Inch | 25 PACK BULK BAG | Soft Plastic Stick Bait MADE IN USA | Anise Scent Fishing Worms for Wacky Rig Bass Lures | 8 Colors Green Pumpkin, Red Watermelon, Junebug, Black",12.99,4.6,622
B08RJBVCJ1,"17pcs Grub Fishing Lures Soft Plastic Kit, Curved Tail Fishing Jig Head Hooks Crappie Soft Baits Saltwater Freshwater",8.99,3.4,11
B07HHQ8C2C,"Berkley 1423756 Powerbait Pit Boss Soft Bait, 4"" Bait Length, Green Pumpkin, Package of 8",5.99,4.7,82
B091NRFJGN,"Fishing Lures for Bass, Soft Lure Swimbaits with Hooks, Silicone Artificial Fishing Bait for Saltwater Freshwater Fishing Jigs (10pcs Set)",6.69,4.1,78
B0B9N3LY6D,"SANTKOL Senko Worms for Bass Fishing,Soft Plastic Fishing Lures,30pcs Rubber Fishing Worms, 4-5 inchs Wacky Worms for Bass Freshwater Saltwater Fishing",15.99,4.5,114
B078PRRKM2,"Bait Pegs (100 Pack) - Rubber pegs for Pegging Soft Plastic Fishing Lures to Hooks, jigs, chatterbaits, etc [Select Size]",8.59,4.4,210
B08L3JQZP1,Fluke-Fishing-Lures-Jerk-Shad- Bait Soft Plastic Swimbait for Bass Fishing Pack of 25-30,16.99,4.4,357
B07VQSRS4T,XFISHMAN Crawfish-Lures-Bass-Fishing-Jig-Trailers-Soft Plastic 25/30 pk Shrimp Creature Crawdad Baits Kit 2 Huge Pinchers 3-4in,16.99,4.2,525
B0736XB1CH,Fat Fish Plastisol Injector Soft Plastic Fishing Lure Molds Injector DIY Soft Lure Making Tool,29.95,4.1,135
B0BFDWZ2XF,Bluegill-Swim-Bait-Soft-Plastic-Swimbaits-Small-Bluegill-Sunfish-Weedless-Swimbait-Fishing-Lures-for-Bass-Pike,14.99,4.6,23
B09FPTBVC7,"FISHINGKING Paddle Tail Swimbait, Bass Fishing Soft Plastic Shad Lure 1.97/2.8 Inch 7/9 Pcs, Shrimp Flavor Jerkbait",7.99,4.1,21
B09XXKYPXH,JOHNCOO Shad Crappie Baits Artificial Soft Lures 2 inch Fishing Lures Plastics,6.99,4.4,251
B09NRRN7KW,"5 Pcs Fishing Soft Plastic Mock Lures and baits Set, as Soft Bionic Fishing Lure for Crappie Trout Bass Salmon in Various Saltwater and Freshwater",5.59,3.9,6
